Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2008:02:23_21h:07m:13s,-28N,76S,-52Avg,-56Nf,51Sf,-54Avgf
2008:03:04_21h:07m:13s,-32N,78S,-55Avg,-56Nf,51Sf,-54Avgf
2008:03:14_21h:07m:13s,-30N,78S,-54Avg,-56Nf,52Sf,-54Avgf
2008:03:24_21h:07m:13s,-38N,75S,-57Avg,-56Nf,52Sf,-54Avgf
2008:04:03_21h:07m:13s,-37N,81S,-59Avg,-56Nf,52Sf,-54Avgf
2008:04:13_21h:07m:13s,-36N,76S,-56Avg,-55Nf,53Sf,-54Avgf
2008:04:23_21h:07m:13s,-40N,72S,-56Avg,-55Nf,53Sf,-54Avgf
2008:05:03_21h:07m:13s,-41N,67S,-54Avg,-55Nf,53Sf,-54Avgf
2008:05:13_21h:07m:13s,-46N,67S,-57Avg,-55Nf,54Sf,-54Avgf
2008:05:23_21h:07m:13s,-49N,65S,-57Avg,-55Nf,54Sf,-55Avgf
2008:06:02_21h:07m:13s,-65N,58S,-61Avg,-55Nf,55Sf,-55Avgf
2008:06:12_21h:07m:13s,-63N,54S,-58Avg,-55Nf,55Sf,-55Avgf
2008:06:22_21h:07m:13s,-65N,51S,-58Avg,-55Nf,55Sf,-55Avgf
2008:07:02_21h:07m:13s,-65N,47S,-56Avg,-54Nf,56Sf,-55Avgf
2008:07:12_21h:07m:13s,-73N,44S,-58Avg,-54Nf,56Sf,-55Avgf
2008:07:22_21h:07m:13s,-76N,44S,-60Avg,-54Nf,56Sf,-55Avgf
2008:08:01_21h:07m:13s,-79N,45S,-62Avg,-54Nf,56Sf,-55Avgf
2008:08:11_21h:07m:13s,-81N,45S,-63Avg,-54Nf,57Sf,-55Avgf
2008:08:21_21h:07m:13s,-75N,42S,-58Avg,-53Nf,57Sf,-55Avgf
2008:08:31_21h:07m:13s,-67N,37S,-52Avg,-53Nf,57Sf,-55Avgf
2008:09:10_21h:07m:13s,-71N,30S,-51Avg,-53Nf,57Sf,-55Avgf
2008:09:20_21h:07m:13s,-75N,28S,-51Avg,-53Nf,57Sf,-55Avgf
2008:09:30_21h:07m:13s,-75N,31S,-53Avg,-53Nf,57Sf,-55Avgf
2008:10:10_21h:07m:13s,-72N,33S,-53Avg,-52Nf,57Sf,-55Avgf
2008:10:20_21h:07m:13s,-76N,34S,-55Avg,-52Nf,57Sf,-55Avgf
2008:10:30_21h:07m:13s,-78N,34S,-56Avg,-52Nf,57Sf,-55Avgf
2008:11:09_21h:07m:13s,-68N,42S,-55Avg,-52Nf,57Sf,-54Avgf
2008:11:19_21h:07m:13s,-54N,44S,-49Avg,-52Nf,57Sf,-54Avgf
2008:11:29_21h:07m:13s,-54N,48S,-51Avg,-51Nf,57Sf,-54Avgf
2008:12:09_21h:07m:13s,-50N,48S,-49Avg,-51Nf,56Sf,-54Avgf
2008:12:19_21h:07m:13s,-50N,68S,-59Avg,-51Nf,56Sf,-54Avgf
2008:12:29_21h:07m:13s,-41N,75S,-58Avg,-51Nf,56Sf,-53Avgf
2009:01:08_21h:07m:13s,-34N,76S,-55Avg,-50Nf,56Sf,-53Avgf
2009:01:18_21h:07m:13s,-28N,74S,-51Avg,-50Nf,56Sf,-53Avgf
2009:01:28_21h:07m:13s,-26N,72S,-49Avg,-50Nf,55Sf,-53Avgf
2009:02:07_21h:07m:13s,-24N,71S,-48Avg,-49Nf,55Sf,-52Avgf
2009:02:17_21h:07m:13s,-24N,73S,-48Avg,-49Nf,55Sf,-52Avgf
2009:02:27_21h:07m:13s,-22N,79S,-50Avg,-49Nf,55Sf,-52Avgf
2009:03:09_21h:07m:13s,-16N,80S,-48Avg,-49Nf,54Sf,-51Avgf
2009:03:19_21h:07m:13s,-23N,82S,-52Avg,-48Nf,54Sf,-51Avgf
2009:03:29_21h:07m:13s,-22N,81S,-52Avg,-48Nf,54Sf,-51Avgf
2009:04:08_21h:07m:13s,-32N,81S,-56Avg,-48Nf,54Sf,-51Avgf
2009:04:18_21h:07m:13s,-31N,79S,-55Avg,-47Nf,54Sf,-50Avgf
2009:04:28_21h:07m:13s,-36N,70S,-53Avg,-47Nf,53Sf,-50Avgf
2009:05:08_21h:07m:13s,-36N,60S,-48Avg,-47Nf,53Sf,-50Avgf
2009:05:18_21h:07m:13s,-37N,55S,-46Avg,-47Nf,53Sf,-50Avgf
2009:05:28_21h:07m:13s,-38N,56S,-47Avg,-46Nf,53Sf,-50Avgf
2009:06:07_21h:07m:13s,-47N,52S,-50Avg,-46Nf,53Sf,-50Avgf
2009:06:17_21h:07m:13s,-55N,45S,-50Avg,-46Nf,53Sf,-49Avgf
2009:06:27_21h:07m:13s,-52N,39S,-46Avg,-46Nf,53Sf,-49Avgf
2009:07:07_21h:07m:13s,-54N,39S,-47Avg,-45Nf,53Sf,-49Avgf
2009:07:17_21h:07m:13s,-59N,39S,-49Avg,-45Nf,53Sf,-49Avgf
2009:07:27_21h:07m:13s,-65N,35S,-50Avg,-45Nf,53Sf,-49Avgf
2009:08:06_21h:07m:13s,-65N,30S,-47Avg,-45Nf,52Sf,-49Avgf
2009:08:16_21h:07m:13s,-65N,29S,-47Avg,-45Nf,52Sf,-49Avgf
2009:08:26_21h:07m:13s,-69N,28S,-49Avg,-45Nf,52Sf,-49Avgf
2009:09:05_21h:07m:13s,-70N,29S,-50Avg,-45Nf,52Sf,-49Avgf
2009:09:15_21h:07m:13s,-64N,24S,-44Avg,-45Nf,52Sf,-49Avgf
2009:09:25_21h:07m:13s,-69N,27S,-48Avg,-45Nf,52Sf,-49Avgf
2009:10:05_21h:07m:13s,-73N,24S,-48Avg,-45Nf,52Sf,-48Avgf
2009:10:15_21h:07m:13s,-71N,35S,-53Avg,-45Nf,52Sf,-48Avgf
2009:10:25_21h:07m:13s,-59N,37S,-48Avg,-45Nf,52Sf,-48Avgf
2009:11:04_21h:07m:13s,-53N,41S,-47Avg,-45Nf,51Sf,-48Avgf
2009:11:14_21h:07m:13s,-51N,39S,-45Avg,-45Nf,51Sf,-48Avgf
