Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1937,1998-06-07 20h,29.8,21.3,-38.2,46.7,36.5,-56.8
CR 1938,1998-07-05 02h,28.2,25.2,-31.2,49.1,41.3,-56.8
CR 1939,1998-08-01 09h,16,20.7,-11.3,41.5,39.2,-43.7
CR 1940,1998-08-28 15h,20.6,26.2,-15,46.7,44.5,-48.8
CR 1941,1998-09-24 22h,16.8,24,-9.6,39.7,39.7,-39.8
CR 1942,1998-10-22 05h,28,24.8,-31.3,41.1,34.8,-47.4
CR 1943,1998-11-18 11h,43.1,44.2,-42,62.5,64.4,-60.5
CR 1944,1998-12-15 18h,50.9,63.2,-38.6,64.5,74.6,-54.5
CR 1945,1999-01-12 00h,42.5,45,-39.9,62.8,67.1,-58.4
CR 1946,1999-02-08 07h,50.5,57.5,-43.4,66.7,72.6,-60.9
CR 1947,1999-03-07 14h,48.1,54.1,-42.1,61.7,70.5,-52.9
CR 1948,1999-04-03 20h,46.5,40.8,-52.1,61.2,62.3,-60.1
CR 1949,1999-05-01 03h,49.3,37.2,-61.5,70.8,66.7,-74.9
CR 1950,1999-05-28 10h,55,37,-73,68.8,63.6,-74.1
CR 1951,1999-06-24 16h,70.3,65.7,-74.9,74.9,74.8,-75.1
CR 1952,1999-07-21 23h,74.5,74,-75,74,72.8,-75.1
CR 1953,1999-08-18 05h,72.1,73.5,-70.7,72.7,73.8,-71.5
CR 1954,1999-09-14 12h,72.9,73.5,-72.3,69.9,72.4,-67.4
CR 1955,1999-10-11 19h,60.4,65.6,-55.2,73,75,-71.1
CR 1956,1999-11-08 01h,67.6,71.7,-63.5,74.7,74.8,-74.6
CR 1957,1999-12-05 08h,71.5,73.2,-69.9,74.7,74.6,-74.7
CR 1958,2000-01-01 14h,73.9,74.6,-73.3,74.5,74.6,-74.3
CR 1959,2000-01-28 21h,74.5,75.1,-73.8,73,74.1,-72
CR 1960,2000-02-25 04h,74.5,74,-74.9,73,74.6,-71.3
CR 1961,2000-03-23 10h,73.6,72.6,-74.5,69.2,73.9,-64.4
CR 1962,2000-04-19 17h,72.6,72.6,-72.7,74.5,74.4,-74.7
CR 1963,2000-05-16 23h,63.6,60.2,-67,70.8,73.4,-68.3
CR 1964,2000-06-13 06h,73.7,73.1,-74.3,71.9,74.3,-69.6
CR 1965,2000-07-10 13h,56.7,52.9,-60.5,67.4,65.4,-69.5
CR 1966,2000-08-06 19h,57.3,69,-45.6,63.6,68.4,-58.8
CR 1967,2000-09-03 02h,63.4,66.9,-59.9,67.6,65.4,-69.9
