%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
2003	11	19	13	33	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2003	12	16	20	1	58	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2004	1	13	2	30	46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2004	2	9	8	59	34	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2004	3	7	15	28	22	8.45297913	8.012666968	8.893291292	5.20895835	86.64001333	10.69465267	1.332667	1.332667	97.83777911
2004	4	3	21	57	10	7.176110397	6.828979921	7.523240873	4.837306801	59.85865337	11.83914973	18.64351066	9.658686243	99.15797479
2004	5	1	4	25	58	6.808437307	6.485046372	7.131828242	4.749855522	68.06860389	20.49377321	10.0174787	1.420144199	99.46216113
2004	5	28	10	54	46	7.518354821	7.146682939	7.890026704	4.943526762	79.24549054	12.87395513	6.692696876	1.187857457	98.78850437
2004	6	24	17	23	34	7.971052028	7.596546976	8.34555708	4.698313982	77.26405321	11.54789815	9.601439398	1.586609236	99.64144076
2004	7	21	23	52	22	7.933584466	7.552786368	8.314382564	4.799824082	59.2055589	10.50500629	26.41571374	3.87372107	99.28835289
2004	8	18	6	21	10	7.539021709	7.154906468	7.923136949	5.095027651	69.88997623	13.24708354	11.61054901	5.25239122	98.26153094
2004	9	14	12	49	58	5.84045431	5.562676289	6.118232332	4.756102981	70.08850524	17.07277098	8.364291958	4.474431818	99.44043027
2004	10	11	19	18	46	5.721617289	5.43224404	6.010990537	5.057542895	60.62613881	16.90133068	7.08409254	15.38843797	98.39191612
2004	11	8	1	47	34	7.857301325	7.480410111	8.234192538	4.796700522	74.99316155	12.7851633	9.223699327	2.997975819	99.29921773
2004	12	5	8	16	22	8.374419015	7.916577783	8.832260247	5.467140245	73.55650416	15.10334756	7.796000899	3.544147383	96.72407236
2005	1	1	14	45	10	8.233034759	7.806045806	8.660023712	5.18628872	67.76501914	15.41021801	9.985022466	6.839740389	97.93556799
2005	1	28	21	13	58	8.448234279	7.933476629	8.962991929	6.093079728	69.45448187	12.93857093	12.8336636	4.773283599	93.21453795
2005	2	25	3	42	46	6.742174913	6.370686667	7.11366316	5.509917075	69.46710934	16.40875584	8.052444995	6.071689832	96.53954802
2005	3	24	10	11	34	7.201865292	6.841339818	7.562390766	5.006001355	70.49713404	13.62433862	8.58686067	7.291666667	98.57119574
2005	4	20	16	40	22	11.22821231	10.63386488	11.82255974	5.29333975	73.954966	10.54508973	8.783859102	6.716085163	97.47378715
2005	5	17	23	9	10	5.822388946	5.529283196	6.115494697	5.034114922	61.87244842	17.65419839	14.76884034	5.704512854	98.47340686
2005	6	14	5	37	58	7.084550417	6.729346082	7.439754751	5.01378794	65.54024256	14.63616318	14.02425579	5.799338479	98.54411126
2005	7	11	12	6	46	7.047034691	6.704386033	7.389683348	4.86230979	68.05220443	12.94143453	6.887475324	12.11888572	99.0710056
2005	8	7	18	35	34	7.217137754	6.862272891	7.572002617	4.916975059	62.4690951	11.93890446	16.94961815	8.642382287	98.88086054
2005	9	4	1	4	22	6.492042931	6.176582486	6.807503377	4.85918606	63.00032898	13.3457616	13.3073802	10.34652922	99.08187103
2005	10	1	7	33	10	6.759419396	6.367659737	7.151179055	5.795759015	73.1162525	10.9283062	7.723507569	8.231933733	95.09452412
2005	10	28	14	1	58	7.055184377	6.720734467	7.389634288	4.740484333	77.78202468	10.81140111	4.5593535	6.847220705	99.49475743
2005	11	24	20	30	46	7.55461089	7.113716578	7.995505201	5.83609557	75.68573556	12.85002577	3.498826089	7.965412587	94.87151627
2005	12	22	2	59	34	6.596265706	6.262347664	6.930183748	5.062228489	72.46520875	12.1051469	9.106472277	6.323172079	98.37561797
2006	1	18	9	28	22	5.52319362	5.179153048	5.867234191	6.22901522	64.84209286	14.40018855	8.973603582	11.78411501	92.19904389
2006	2	14	15	57	10	5.799400589	5.515785348	6.08301583	4.890423357	65.5725107	12.8115051	10.64880887	10.96717532	98.97321671
2006	3	13	22	25	58	5.825728188	5.514197666	6.13725871	5.347494977	66.04838259	15.49807252	8.827308788	9.626236103	97.24018037
2006	4	10	4	54	46	5.685990727	5.385155142	5.986826313	5.290820902	68.30695497	13.86535889	9.908604547	7.919081587	97.48465258
2006	5	7	11	23	34	5.610109145	5.311523815	5.908694476	5.322273111	73.92299107	14.18526786	4.732142857	7.159598214	97.3489787
2006	6	3	17	52	22	5.547943243	5.239947973	5.855938513	5.551521645	64.70090771	16.28798557	4.685121497	14.32598523	96.3600804
2006	7	1	0	21	10	3.979024434	3.757376339	4.200672528	5.570413003	55.29285634	18.35007336	9.118609638	17.23846067	96.27858967
2006	7	28	6	49	58	4.512526351	4.274742805	4.750309898	5.269410696	55.06374923	19.42542175	10.7900451	14.72078392	97.57700875
2006	8	24	13	18	46	5.13159366	4.832615761	5.43057156	5.826219284	56.82728625	16.90511617	11.19949639	15.06810118	94.92611908
2006	9	20	19	47	34	4.147948387	3.883860834	4.412035939	6.366702964	56.36864483	20.5760824	9.204143961	13.85112881	90.72092139
2006	10	18	2	16	22	4.443206557	4.175988763	4.71042435	6.01407542	55.49635121	17.71690027	12.93293177	13.85381675	93.80127126
2006	11	14	8	45	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2006	12	11	15	13	58	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2007	1	7	21	42	46	6.754910569	6.351382901	7.158438236	5.973841745	68.17158363	10.16107615	13.20362566	8.463714566	94.10007063
2007	2	4	4	11	34	5.613839189	5.278559453	5.949118925	5.972378703	69.02384114	14.05645673	9.068867979	7.850834151	94.11093606
2007	3	3	10	40	22	4.450061691	4.184026729	4.716096653	5.978230873	59.60150159	18.382905	12.902108	9.113485417	94.06747433
2007	3	30	17	9	10	3.517787567	3.328789248	3.706785887	5.37264733	58.07606264	18.70246085	6.856823266	16.36465324	97.13168188
2007	4	26	23	37	58	4.480877032	4.230709343	4.731044721	5.583007242	51.50180668	14.40266486	16.4295393	17.66598916	96.22426251
2007	5	24	6	6	46	5.681124914	5.375896056	5.986353773	5.372683454	70.03188098	13.18306393	8.993791599	7.791263493	97.13152605
2007	6	20	12	35	34	5.132344928	4.844836169	5.419853686	5.6018986	62.11222241	13.68028479	11.99073289	12.2167599	96.14277177
2007	7	17	19	4	22	4.458735639	4.19348749	4.723983787	5.948954372	59.36157606	14.49414901	6.628647608	19.51562731	73.34854411
2007	8	14	1	33	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2007	9	10	8	1	58	4.400801157	4.146431936	4.655170378	5.780066217	64.8702235	16.36625811	5.632660418	13.13085797	60.28141468
2007	10	7	14	30	46	4.284761165	4.04980574	4.51971659	5.483512756	62.94193693	14.47361025	6.930470463	15.65398235	96.65344706
2007	11	3	20	59	34	6.065850133	5.684201205	6.447499061	6.291763227	69.97269706	11.6868471	11.3960114	6.944444444	91.52542373
2007	12	1	3	28	22	4.567998126	4.31544027	4.820555982	5.528852015	61.10954661	16.47423261	9.101661504	13.31455928	96.45786929
2007	12	28	9	57	10	5.426066713	5.127707606	5.724425819	5.498625842	64.34557624	13.00410597	9.612464143	13.03785365	96.58825447
2008	1	24	16	25	58	5.903643425	5.572035084	6.235251766	5.617011687	66.60446706	13.29940628	14.21543681	5.88068985	96.07757918
2008	2	20	22	54	46	5.127161785	4.796134764	5.458188806	6.456340465	63.35520719	15.85247296	14.80131243	5.991007413	89.40677966
2008	3	19	5	23	34	5.388362335	5.058389607	5.718335063	6.123803625	68.56742229	16.25379762	7.268053283	7.910726805	92.98636388
2008	4	15	11	52	22	5.086621103	4.77453106	5.398711146	6.135507967	73.62573099	14.89473684	3.85380117	7.625730994	92.89944043
2008	5	12	18	21	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	
2008	6	9	0	49	58	4.031773008	3.795684599	4.267861418	5.855696964	63.49461133	15.83925705	7.88809906	12.77803256	94.76314646
2008	7	6	7	18	46	4.349545751	4.136291078	4.562800425	4.902918276	65.10159253	16.97419001	5.639758375	12.28445909	98.92975498
